,Income (nominal gross earnings),Graduates (bachelor),Social allowances (paid amounts),Labour resources (k),Unemployment rate,Mortal labour accidents,Highway km,Natural gas distribution,Locuinte existente la sfarsitul anului,Lungimea cailor ferate,Populatia deservita de sistemul public de alimentare cu apa,Rata criminalitatii,Sectii sportive,Spitale publice,Suprafata intravilana (hectare),Suprafata spatiilor verzi (hectare),Unitati posta,Unitati invatamant primar si gimnazial
Buzau,-0.5856520029461819,-0.49485122949554783,1.7063287709368744,-0.3032112614101988,1.8400638570613639,0.7015336556328499,9.309274333792024e-16,-0.19424790795777003,-0.1631539156675915,-0.13533075720944746,-0.09189999239038382,-0.22580671269145947,-0.22869442307858986,-0.5386465509033167,-0.7214490520110893,-0.5834447295231937,-0.06929580530100887,-0.7095770214172527
Calarasi,-0.440901502383362,-0.5016841267313008,-0.3583947179757335,-0.7332893408304713,0.174200402768819,-1.1172573034152797,3.2350969853515656,-0.3585959343826874,-0.7643185934302386,-0.4921880699005303,-0.6896025526145619,1.510754434911907,-0.662869243736912,-0.5386465509033167,-0.780893192731019,-0.5034151740878312,-1.9818600316088537,-1.0730613289569728
Caras-Severin,-0.6960549271042649,-0.4732848975952025,-1.0626972264107624,-0.7420776540753301,-0.3957002526470519,0.7015336556328499,9.309274333792024e-16,-0.3753858014265996,-0.6866102612756115,0.48279708798760684,-0.591150042586467,-2.0440883848879254,-0.49746931205755124,-0.5386465509033167,-0.638259128537086,-0.3704847260765511,0.429633992866255,0.38087590120190773
Cluj,1.8849200998802522,1.5955882685676293,-0.739981161451948,0.8760705221342779,-1.0971164439281238,0.09527000261680671,-0.171329123834817,0.3371947877997553,0.9087303808797886,-0.16082056525881053,1.063839161022808,0.6322587955360863,1.1358550132761371,1.2193900446829686,0.8438601977238948,0.5830877734329377,0.9008454689131152,0.050435621620343964
Constanta,0.17244807627265443,0.30737361158957544,-0.40528821817701066,0.7228243099270542,-0.6148928124223868,1.307797308648893,1.2698511531286527,0.23682187141252395,0.5687230269665927,3.25481371335584,0.8029355799713004,0.14193564797748875,0.8601884604772023,0.21479770434794848,0.873024481240643,-0.028663574047545114,-0.23560573802343016,-1.4695896644548492
Covasna,-0.8015510546330996,-0.49976237438374527,-0.9423627716670838,-0.9941923902872138,-0.13266918091664998,-1.4203891299233011,9.309274333792024e-16,-0.3881507583506534,-1.068917117864203,-0.9510046147890655,-0.8035139375675843,-0.16451631924663476,-0.5732776140772583,-0.6642205934451941,-1.1362830956946735,-0.5848011626661659,-1.9264233873680465,0.11652367753665671
Dambovita,-0.2250024506964442,-0.33790812111184654,0.6421396226366278,0.05491250331779329,0.34955445058908674,-0.814125476907258,-1.5470012063908563,-0.11426843411366126,-0.04798007836766299,-1.0338464909494955,0.013019554139256694,-0.3483874995811089,0.005622146800504652,-0.6642205934451941,-0.628218965359189,-0.5454646015199708,-0.5959439255886763,0.8765363205742533
Dolj,0.19452866110427103,0.2751308777583661,2.965572473442395,0.532777036006985,1.8839023690164316,-0.5109936503992365,9.309274333792024e-16,-0.29016399330749376,0.5105693079362155,-0.24366244141924048,-0.07035427774453835,0.24408630371886325,0.1296720955600253,0.4659457894317035,0.0436751292124556,0.7757012797349967,0.9562821131539224,0.44696395711822046
Galati,-0.23236264564031642,-0.047937044669579494,1.643321557062625,0.083474521363584,1.4893557614208286,0.7015336556328499,9.309274333792024e-16,0.49949754164403976,0.08547711977473166,0.24064391151865774,0.2585307024216747,1.3473133857257078,-0.3320693803781904,0.08922366180607096,-0.3929922851913172,0.5044146511405475,-0.5682256034682727,-1.00697327304066
Gorj,0.21415584762126355,-0.42908459360142537,-0.5165920521820813,-0.5520303801552606,0.7879395701397566,-0.5109936503992365,9.309274333792024e-16,-0.3366463061803876,-0.5001491304163066,-0.16719301727115127,-0.5079460073231463,1.122581943094684,-0.718002554296699,-0.16192442327768408,-0.42630012811481666,-0.7136623112485293,0.12473244954181596,-0.8087091052917218
