,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Harghita,-1.672938938600656,-0.5647277453659608,-1.4120914464628043,-0.46429557801070526,-1.4119647875922887,-1.0695079930836033,0.10912287175210918,-0.2119909158851864,0.6084988053546101,-0.18850239436151728,0.44362075809961515,-0.13587798315303037,-0.2866740656995975,0.13811997180152683,0.12433586277804043,0.005330250049231267,-0.16624968346561547,0.03153212762558487
Hunedoara,0.1828833035433709,0.7605695105228566,0.00275206545834947,-1.5920755693599358,1.1955611268435276,1.175800164005038,1.4845739890927725,-0.07175762261618747,0.1626740737649989,0.3631974156565759,0.1842518467213058,0.023556997369390906,-0.022906179797107323,0.21404612618087504,-0.019780988824884205,-0.1438870655648275,0.033099389938642296,0.009629332859338525
Iasi,1.7542576339938358,-0.10054934747180873,1.1802740862934755,-0.748734797947853,-1.6871515143764608,-1.4337255444215973,-1.0381655328478727,0.8168585770581887,0.2394998314596425,-0.0685490046737204,-0.624090151013699,0.2624511315480637,0.17388716792742515,0.35600573340567104,-0.31758263331533143,-0.1931318634781618,0.16262788640419057,0.047946499545533185
Ilfov,0.011150782338966096,-1.78883420922806,-3.0204409868157778,-0.6813151218662834,-0.31185587330398684,0.5704903082275921,-1.9453712760876538,-1.2251331038248818,-0.8588430503196639,0.3216443835998663,0.11975557645580052,0.6270196729568817,0.2781257338110353,-0.2994803444266092,-0.25047765477230866,0.0028218484875206437,-0.012170050025293193,-0.004291329858382743
Maramures,0.7408225121371604,-0.9325195153094208,-0.11873115053726309,1.3033433153158558,-0.8789674929868656,3.4303339870984577,0.4011149874909508,-0.8565392046337735,1.4879087194867842,0.13834831354733898,-0.1590564526584774,0.19009297759995514,0.20900345834834524,0.06396758172958747,0.10138352972974159,-0.13446544963519724,-0.0060073512296438016,0.007218737817650535
Mehedinti,-2.3727242753301105,1.9750004090995257,0.37173686123052063,0.9840268929940942,1.0704892872466567,0.014503168491894366,0.39699317996294636,0.4322870258702337,0.2834919335981307,0.7699777293985125,0.5949442650453894,0.15366990106529035,-0.10954410426602756,-0.11032181891840749,0.05703162754931803,-0.12474837826354815,0.13473098471963518,0.08180689526794209
Mures,0.28010290856473025,-0.08400947354545227,0.7541444578065628,-1.1230903916232897,-1.0931372740482637,0.0008252553882524992,-0.5402160193576709,-0.3727037158874905,0.22191307603568897,0.1068799080358672,-0.3348139296351322,-0.07167748389947977,-0.14747232049181114,-0.11775952686906403,0.21016455742666623,0.2991805003476633,-0.02458402806609291,0.03647752820383369
Neamt,-1.5179654282678465,0.8538119958498378,-0.04174341748860798,0.20689786023635492,0.5312816970830433,-0.07570312001814984,-0.2408048958213347,0.2760334871676921,0.0584167469675981,-0.44719721973766496,-0.16257603178808475,-0.4595325515437456,0.11074001459150828,-0.37618775418164135,-0.143702339558652,-0.1385457332741071,-0.01641763183510174,-0.06786213337465516
Olt,-1.2929946614642445,1.270331484704475,0.5331348972965112,-1.7503315833881368,0.06117867154499646,-0.711133406173713,-0.5080324664646653,-0.7750340133688424,0.447866541281318,0.6306808588092907,0.3924474005081013,0.336128508300075,-0.20558575984327526,-0.21466728890959647,0.017721032579433773,0.10987853456632259,0.11722680470863125,-0.03843357808018024
Prahova,2.2736612899664337,0.2932380918133949,-0.5925581530578544,-1.8163019845836104,-1.8823289881517669,0.4870516233043236,-0.08365486414869905,0.07277800553858968,-0.1146969845189081,0.33176755691837695,0.048906287837534854,-0.6354153643492554,-0.015550017002587261,0.06407277143828581,-0.0735381690651481,-0.37694795889897664,0.07066593760637131,-0.020391959093144632
